citizen,sex,age,decision,unit,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
TOTAL,T,TOTAL,REJECTED,PER,BE	4840 	7270 	7780 	10015 	12195 	11085 	7500 	: 
TOTAL,T,TOTAL,REJECTED,PER,BG	20 	40 	15 	5 	0 	5 	5 	: 
TOTAL,T,TOTAL,REJECTED,PER,CH	5360 	4790 	3905 	3270 	3605 	3220 	2325 	: 
TOTAL,T,TOTAL,REJECTED,PER,CY	2810 	2580 	2870 	3110 	1500 	875 	275 	: 
TOTAL,T,TOTAL,REJECTED,PER,CZ	1435 	395 	380 	365 	415 	405 	530 	: 
TOTAL,T,TOTAL,REJECTED,PER,DE	8295 	4445 	5335 	21265 	24520 	30845 	37470 	: 
TOTAL,T,TOTAL,REJECTED,PER,DK	315 	310 	790 	1815 	1085 	1115 	1505 	: 
TOTAL,T,TOTAL,REJECTED,PER,EE	0 	0 	5 	10 	5 	0 	5 	: 
TOTAL,T,TOTAL,REJECTED,PER,EL	980 	2065 	5 	215 	1115 	2990 	5785 	: 
TOTAL,T,TOTAL,REJECTED,PER,ES	1110 	1685 	1530 	1100 	1100 	1085 	905 	: 
TOTAL,T,TOTAL,REJECTED,PER,EU28	68035 d	73550 d	77645 	104070 	107075 	110210 	108990 	11010 d
TOTAL,T,TOTAL,REJECTED,PER,FI	10 	15 	45 	65 	50 	55 	45 	: 
TOTAL,T,TOTAL,REJECTED,PER,FR	18030 	14200 	17815 	28470 	30575 	32110 	31270 	: 
TOTAL,T,TOTAL,REJECTED,PER,HR	: 	: 	: 	: 	105 	95 	110 	: 
TOTAL,T,TOTAL,REJECTED,PER,HU	55 	145 	165 	275 	290 	625 	800 	435 
TOTAL,T,TOTAL,REJECTED,PER,IE	2165 	3160 	2655 	1250 	645 	525 	115 	: 
TOTAL,T,TOTAL,REJECTED,PER,IS	10 	30 	10 	0 	15 	95 	60 	: 
TOTAL,T,TOTAL,REJECTED,PER,IT	30 	1475 	1260 	1175 	445 	20 	10 	: 
TOTAL,T,TOTAL,REJECTED,PER,LI	: 	80 	60 	45 	50 	55 	0 	: 
TOTAL,T,TOTAL,REJECTED,PER,LT	35 	50 	65 	30 	215 	30 	10 	: 
TOTAL,T,TOTAL,REJECTED,PER,LU	425 	170 	160 	330 	905 	660 	725 	: 
TOTAL,T,TOTAL,REJECTED,PER,LV	15 	10 	15 	10 	40 	45 	35 	: 
TOTAL,T,TOTAL,REJECTED,PER,MT	225 	475 	325 	505 	415 	135 	225 	: 
TOTAL,T,TOTAL,REJECTED,PER,NL	390 	425 	675 	1205 	645 p	820 p	745 	: 
TOTAL,T,TOTAL,REJECTED,PER,NO	3815 	8080 	9710 	7965 	7225 	9470 	7510 	: 
TOTAL,T,TOTAL,REJECTED,PER,PL	155 	10 	60 	2175 	900 	1000 	1360 	: 
TOTAL,T,TOTAL,REJECTED,PER,PT	0 	0 	20 	20 	65 	100 	95 	: 
TOTAL,T,TOTAL,REJECTED,PER,RO	190 	575 	420 	1185 	1950 	625 	135 	: 
TOTAL,T,TOTAL,REJECTED,PER,SE	10305 	13440 	11595 	11400 	13085 	10605 	10780 	10545 
TOTAL,T,TOTAL,REJECTED,PER,SI	100 	70 	15 	70 	35 	65 	65 	30 
TOTAL,T,TOTAL,REJECTED,PER,SK	65 	20 	170 	0 	65 	110 	55 	: 
TOTAL,T,TOTAL,REJECTED,PER,UK	8950 	10430 	14360 	10435 	8290 	8735 	8425 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,AT	490 	375 	375 	460 	300 	240 	: 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,BE	85 	115 	85 	50 	30 	60 	30 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,BG	10 	10 	20 	15 	20 	35 	15 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,CH	60 	50 	40 	30 	30 	15 	15 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,CY	5 	10 	5 	5 	15 	55 	205 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,CZ	35 	0 	20 	260 	25 	15 	10 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,DE	145 	140 	235 	350 	1135 	950 	935 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,DK	50 	70 	155 	200 	180 	285 	130 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,EE	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,EL	0 	15 	5 	80 	90 	220 	295 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,ES	10 	5 	5 	20 	5 	0 	0 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,EU28	2850 d	3685 d	3370 	5040 	5455 	5350 	4625 	355 d
TOTAL,T,TOTAL,SUB_PROT,PER,FI	55 	35 	35 	215 	145 	75 	60 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,FR	1125 	1320 	1035 	1195 	1390 	1180 	1580 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,HR	: 	: 	: 	: 	10 	0 	0 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,HU	0 	0 	15 	40 	90 	35 	15 	15 
TOTAL,T,TOTAL,SUB_PROT,PER,IE	: 	: 	: 	: 	: 	: 	5 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,IS	0 	0 	: 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,IT	0 	0 	0 	0 	270 	60 	35 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,LI	: 	: 	: 	10 	0 	0 	0 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,LT	0 	5 	0 	0 	0 	5 	5 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,LU	0 	10 	5 	10 	0 	10 	5 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,LV	0 	0 	0 	5 	0 	0 	0 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,MT	0 	0 	0 	0 	5 	0 	25 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,NL	165 	125 	390 	1140 	: p	435 p	340 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,NO	50 	75 	70 	85 	290 	175 	110 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,PL	5 	75 	35 	55 	25 	25 	15 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,PT	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,RO	30 	30 	30 	35 	115 	535 	30 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,SE	390 	1155 	710 	725 	1450 	990 	800 	335 
TOTAL,T,TOTAL,SUB_PROT,PER,SI	0 	0 	0 	0 	0 	0 	0 	0 
TOTAL,T,TOTAL,SUB_PROT,PER,SK	10 	10 	5 	5 	5 	5 	0 	: 
TOTAL,T,TOTAL,SUB_PROT,PER,UK	240 	175 	210 	175 	140 	120 	85 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,AT	0 	0 	0 	0 	0 	0 	: 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,BE	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,BG	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,CH	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,CY	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,CZ	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,DE	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,DK	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,EE	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,EL	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,ES	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,EU28	0 d	0 d	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,FI	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,FR	0 	0 	0 	0 	0 	0 	: 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,HR	: 	: 	: 	: 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,HU	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,IE	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,IS	0 	0 	0 	0 	0 	0 	: 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,IT	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,LI	: 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,LT	0 	0 	0 	0 	0 	0 	: 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,LU	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,LV	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,MT	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,NL	0 	0 	0 	0 	0 p	0 p	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,NO	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,PL	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,PT	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,RO	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,TEMP_PROT,PER,SE	0 	0 	0 	0 	0 	0 	0 	: 
